AnalyteName,Background,BufferId,CartridgeId,CartridgeComments,CalculatedConcentration,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,ChannelNumber,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,DiluentId,DilutionFactor,GnrFilter,GnrFilterCVPercentThreshold,IsSampleStdDev,Gnr1CalculatedConcentration,Gnr1RFU,Gnr1Background,Gnr1Signal,Gnr2CalculatedConcentration,Gnr2RFU,Gnr2Background,Gnr2Signal,Gnr3CalculatedConcentration,Gnr3RFU,Gnr3Background,Gnr3Signal,GnrCount,InletComment,InletNumber,AnalyzerName,KitId,KitGuid,KnownConcentration,LotNumber,PercentRecovery,RFU,RFUPercentCV,RFUStdDev,RunDate,RunUserName,SampleName,SampleType,Signal,SpecimenTypes,AnalyteNumber,AnalyzerDescription,CalculatedConcentrationStatus,DilutedConcentration,DilutedConcentrationStatus,NonlimitedCalculatedConcentration
CRP,0.465,689,31195,,2526128.965,3.422,86434.459,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2525797.146,135.601,0.465,136.065,2632154.645,141.731,0.465,142.195,2420435.103,129.534,0.465,129.999,3,,1,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,135.622,3.671,4.979,8/7/17 14:35,Ella,1,Unknown,136.087,PlasmaSerum,1,,IR,2806.81,IR,2526128.965
CRP,0.455,689,31195,,405488.968,1.755,7115.851,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,415304.659,18.678,0.455,19.133,402502.626,18.042,0.455,18.497,398659.619,17.852,0.455,18.306,3,,2,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,18.191,1.942,0.353,8/7/17 14:35,Ella,2,Unknown,18.645,PlasmaSerum,1,,IR,450.543,IR,405488.968
CRP,0.454,689,31195,,1058270.479,0.518,5482.549,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1065546.835,52.938,0.454,53.392,1056951.461,52.467,0.454,52.921,1052313.141,52.214,0.454,52.668,3,,3,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,52.54,0.571,0.3,8/7/17 14:35,Ella,3,Unknown,52.994,PlasmaSerum,1,,IR,1175.856,IR,1058270.479
CRP,0.457,689,31195,,917104.844,0.223,2044.882,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,915969.738,44.805,0.457,45.262,919975.864,45.021,0.457,45.478,915368.929,44.773,0.457,45.23,3,,4,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,44.866,0.246,0.11,8/7/17 14:35,Ella,4,Unknown,45.323,PlasmaSerum,1,,IR,1019.005,IR,917104.844
CRP,0.461,689,31195,,754570.426,1.932,14575.497,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,774800.053,37.241,0.461,37.702,747881.885,35.813,0.461,36.274,741029.342,35.451,0.461,35.911,3,,5,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,36.168,2.137,0.773,8/7/17 14:35,Ella,5,Unknown,36.629,PlasmaSerum,1,,IR,838.412,IR,754570.426
CRP,0.453,689,31195,,1971832.331,1.604,31632.983,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,2007567.405,105.85,0.453,106.302,1977271.913,104.119,0.453,104.572,1930657.675,101.459,0.453,101.911,3,,6,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,103.809,1.74,1.806,8/7/17 14:35,Ella,6,Unknown,104.262,PlasmaSerum,1,,IR,2190.925,IR,1971832.331
CRP,0.444,689,31195,,3059203.918,2.495,76316.814,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3060052.691,166.428,0.444,166.873,3152245.269,171.752,0.444,172.196,2965313.796,160.957,0.444,161.402,3,,7,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,166.379,2.649,4.407,8/7/17 14:35,Ella,7,Unknown,166.824,PlasmaSerum,1,,IR,3399.115,IR,3059203.918
CRP,0.442,689,31195,,3532525.959,5.31,187565.555,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,3756826.851,206.627,0.442,207.069,3297745.628,180.153,0.442,180.595,3543005.399,194.305,0.442,194.747,3,,8,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,193.695,5.584,10.817,8/7/17 14:35,Ella,8,Unknown,194.137,PlasmaSerum,1,,IR,3925.029,IR,3532525.959
CRP,0.422,689,31195,,1212659.055,1.164,14109.396,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,1229487.68,61.964,0.422,62.386,1213529.712,61.081,0.422,61.503,1194959.775,60.054,0.422,60.476,3,,9,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,61.033,1.279,0.78,8/7/17 14:35,Ella,9,Unknown,61.455,PlasmaSerum,1,,IR,1347.399,IR,1212659.055
CRP,0.422,689,31195,,337302.072,1.963,6620.302,1,0.213,1.126,38114.914,3335.995,0.802,678,900,GnrRfuCVThreshold,10,FALSE,334783.777,14.719,0.422,15.141,330751.85,14.523,0.422,14.945,346370.588,15.282,0.422,15.704,3,,10,Ella-16120134,37397,ade04f79-194a-4a26-ac30-878d15ad4f30,,2165,,14.841,2.169,0.322,8/7/17 14:35,Ella,10,Unknown,15.263,PlasmaSerum,1,,IR,374.78,IR,337302.072
