CartridgeId,RunDate,LotNumber,KitId,ChannelNumber,Sample,AnalyteName,InletNumber,DilutionFactor,CalculatedConcentration,CalculatedConcentrationInRange,CalculatedConcentrationPercentCV,CalculatedConcentrationStdDev,RFU,Gnr1RFU,Gnr2RFU,Gnr3RFU,RFUPercentCV,RFUStdDev,KitGuid,InstrumentName,Gnr1CalculatedConcentration,Gnr2CalculatedConcentration,Gnr3CalculatedConcentration,KnownConcentration,PercentRecovery,Signal,CurveCoefficientA,CurveCoefficientB,CurveCoefficientC,CurveCoefficientD,CurveCoefficientG,SampleType,Background,BufferId,CartridgeComments,DiluentId,Gnr1Background,Gnr1Signal,Gnr2Background,Gnr2Signal,Gnr3Background,Gnr3Signal,GnrCount,GnrFilter,GnrFilterCVPercentThreshold,InletComment,IsSampleStdDev,RunUserName,SpecimenTypes
34146,7/12/2017 17:56,2411,35290,1,4837,CXCL10,1,2,28.504,IR,2.269,0.647,10.958,11.318,10.65,10.905,2.514,0.275,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,29.351,27.781,28.381,,,11.427,0.101,1.127,913.749,1686.549,0.704,Unknown,0.47,689,,726,0.47,11.788,0.47,11.119,0.47,11.374,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,4837,IFNg,1,2,9.147,IR,5.839,0.534,1.906,1.972,1.978,1.769,5.099,0.097,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,9.509,9.54,8.392,,,2.357,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.451,689,,726,0.451,2.423,0.451,2.429,0.451,2.22,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,4837,IL-6,1,2,4.436,IR,3.983,0.177,0.656,0.624,0.675,0.67,3.551,0.023,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,4.187,4.58,4.542,,,1.105,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.449,689,,726,0.449,1.072,0.449,1.124,0.449,1.119,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,4837,IL-8,1,2,54.939,IR,1.034,0.568,26.687,27.056,26.623,26.383,1.044,0.279,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,55.69,54.809,54.318,,,27.149,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.462,689,,726,0.462,27.518,0.462,27.085,0.462,26.845,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,90459,CXCL10,2,2,129.251,IR,2.784,3.599,57.706,60.147,56.296,56.674,3.003,1.733,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,134.32,126.323,127.109,,,58.164,0.101,1.127,913.749,1686.549,0.704,Unknown,0.458,689,,726,0.458,60.605,0.458,56.754,0.458,57.132,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,90459,IFNg,2,2,18.185,IR,10.552,1.919,3.56,3.795,3.062,3.823,9.897,0.352,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,19.464,15.473,19.619,,,4.013,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.453,689,,726,0.453,4.247,0.453,3.515,0.453,4.276,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,90459,IL-6,2,2,8.374,IR,0.514,0.043,1.172,1.167,,1.178,0.478,0.006,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,8.331,,8.417,,,1.621,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.449,689,,726,0.449,1.615,,,0.449,1.627,2,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,90459,IL-8,2,2,215.198,IR,3.288,7.075,104.691,106.085,100.014,107.974,3.243,3.396,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,218.099,205.455,222.041,,,105.155,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.464,689,,726,0.464,106.549,0.464,100.478,0.464,108.438,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,1,89822,CXCL10,3,2,478.594,IR,0.603,2.885,221.4,221.057,223.097,220.047,0.573,1.268,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,477.812,482.452,475.516,,,221.866,0.101,1.127,913.749,1686.549,0.704,Unknown,0.465,689,,726,0.465,221.523,0.465,223.562,0.465,220.512,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,2,89822,IFNg,3,2,5.565,IR,2.195,0.122,1.256,1.226,1.277,1.265,1.757,0.022,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,5.396,5.682,5.616,,,1.712,0.266,1.016,4577.497,2565.177,0.714,Unknown,0.456,689,,726,0.456,1.681,0.456,1.733,0.456,1.721,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,3,89822,IL-6,3,2,25.032,IR,1.323,0.331,3.317,3.355,3.338,3.258,1.273,0.042,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,25.331,25.195,24.571,,,3.773,0.061,0.984,3449.682,1126.02,0.73,Unknown,0.457,689,,726,0.457,3.811,0.457,3.794,0.457,3.714,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
34146,7/12/2017 17:56,2411,35290,4,89822,IL-8,3,2,234.787,IR,0.782,1.837,114.07,115.272,113.203,113.734,0.769,0.877,1d678bb5-de42-4aba-b621-36525c6270f9,Ella-16030076,237.304,232.972,234.084,,,114.535,0.091,1.022,2954.145,2878.453,1.112,Unknown,0.465,689,,726,0.465,115.737,0.465,113.668,0.465,114.2,3,GnrRfuCVThreshold,10,,FALSE,Ella,PlasmaSerum
