Program,xPONENT,,LX100/LX200,,,,,,,,,,
Build,3.1.971.0,,,,,,,,,,,,
Date,12/6/2016,2:07 PM,,,,,,,,,,,
,,,,,,,,,,,,,
SN,LX10014307402,,,,,,,,,,,,
Batch,11-plex 1,,,,,,,,,,,,
Version,1,,,,,,,,,,,,
Operator,,,,,,,,,,,,,
ComputerName,XPONENT31-PC,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,
ProtocolName,11-plex Dr. Grosshans,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,
ProtocolDevelopingCompany,R&D,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,
DDGate,6500 to 22500,,,,,,,,,,,,
SampleTimeout,200 sec,,,,,,,,,,,,
BatchStartTime,12/6/2016 15:54,,,,,,,,,,,,
BatchStopTime,12/6/2016 17:04,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,
ProtocolMicrosphere,Map,100 regions,Type,MagPlex,Count,11,,,,,,,
ProtocolAnalysis,Type,Quan,Mode,FitOfAllStandards,,,,,,,,,
NormBead,None,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,
,,,,,,,,,,,,,
Most Recent Calibration and Control Results:,,,,,,,,,,,,,
Last MagCAL1 Calibration,Passed 12/6/2016 12:14:00 PM,,,,,,,,,,,,
Last CAL2 Calibration,Passed 12/6/2016 12:15:10 PM,,,,,,,,,,,,
Last MagCON1 Verification,Passed 12/6/2016 12:16:06 PM,,,,,,,,,,,,
Last CON2 Verification,Passed 12/6/2016 12:16:34 PM,,,,,,,,,,,,
,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,
Classification Calibrator Magnetic,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,DDTemp,CL1Temp,CL2Temp,DDVolts,CL1Volts,CL2Volts,DDRVal,CL1RVal,CL2RVal,Result,MachineSerialNo
B55666,7/25/2018,12/6/2016 12:14,23.96,24.18,23.52,52.43,109.53,111.09,263,1025,1123,Pass,LX10014307402
Reporter Calibrator,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,RP1(1)Volts,RP1(1)Val,RP1(2)Volts,RP1(2)Val,Result,MachineSerialNo,,,,,
B55510,7/19/2018,12/6/2016 12:15,546.76,3656.16,668.38,16641.56,Pass,LX10014307402,,,,,
,,,,,,,,,,,,,
AssayLotInfo:,,,,,,,,,,,,,
KitName,LotNumber,ExpirationDate,Manufacturer,,,,,,,,,,
11-plex July,1438895,2/2/2025,R&D,,,,,,,,,,
Reagent,LotName,LotNumber,ExpirationDate,Manufacturer,,,,,,,,,
Standard1,,,,,,,,,,,,,
Standard2,,,,,,,,,,,,,
Standard3,,,,,,,,,,,,,
Standard4,,,,,,,,,,,,,
Standard5,,,,,,,,,,,,,
Standard6,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Samples,48,Min Events,50,Per Bead,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,
Location,Sample,BDNF 15,MIF 21,S100B 22,IL-7 29,Tau 33,IL-13 47,M-CSF 48,PDGF-AA 56,IL-15 63,TNF RI 66,IL-18 78,Total Events
"1(1,A1)",Background0,11,11,14.5,16,51,12,25,25,17.5,26,23,687
"2(1,B1)",Standard1,10482,3298.5,11182,3517,3923.5,3235,7960,3879,3751,4166.5,6720,681
"3(1,C1)",Standard2,4613,898.5,5903,1359,1866,1490,4410,1433,1429.5,1997,3190.5,709
"4(1,D1)",Standard3,1933,218,2353.5,534,732.5,570.5,2018,529.5,536.5,806,1369,698
"5(1,E1)",Standard4,739,64.5,830,191,257,156,842,193,194,292,494.5,650
"6(1,F1)",Standard5,256,26,293,69,115,41,301.5,79,73,112.5,186,731
"7(1,G1)",Standard6,90.5,15,105,32,70,16.5,115,45,34.5,55.5,73,722
"8(1,H1)",Unknown1,9464,189,37,54,19,18,37,5965,21,924,341,3451
"9(1,A2)",Background0,12.5,10,15,15,48,11,24.5,27,17,24.5,18,806
"10(1,B2)",Standard1,9899,3400.5,10547,3404,3803,3175,8087.5,3881.5,3788,4179,6475,699
"11(1,C2)",Standard2,4717,912,5886,1394.5,1913,1506,4556,1482,1448,2009.5,3223,770
